epoch	categorical crossentropy loss
0	102.838321686
1	33.5164082845
2	12.005335278
3	6.20672718684
4	4.41693586773
5	3.54988318019
6	2.7427297963
7	1.8363155259
8	1.29496173064
9	1.02302505573
10	0.854490657647
11	0.691806660758
12	0.612275607056
13	0.527462763919
14	0.471295287212
15	0.418150911729
16	0.380488627487
17	0.352317061689
18	0.327664785915
19	0.298008812798
20	0.271527664529
21	0.259259960718
22	0.232106177343
23	0.218477641543
24	0.206309162908
25	0.190740202864
26	0.179620350401
27	0.172598828872
28	0.15873772237
29	0.154140972429
30	0.14271027512
31	0.13723687662
32	0.131764503817
33	0.129871969422
34	0.121203614606
35	0.116409141984
36	0.111945968535
37	0.108514721195
38	0.106009817786
39	0.101819626159
40	0.0974278301001
41	0.094024585353
42	0.0891965809796
43	0.0868480528394
44	0.0841979839736
45	0.0825177480777
46	0.0804737400677
47	0.0765198419491
48	0.0765250929528
49	0.0714394773046
50	0.07291874869
51	0.0701597945558
52	0.0675077736378
53	0.0654498417344
54	0.0640697756575
55	0.06647985263
56	0.0618496206072
57	0.0619888359474
58	0.0597942148646
59	0.0584705480271
60	0.0564150247309
61	0.0552709392375
62	0.0549585401184
63	0.0544640483956
64	0.0518825513621
65	0.0536305097242
66	0.0508950141569
67	0.0492584792276
68	0.0481459221078
69	0.0485500088996
70	0.0467287302017
71	0.0464181552331
72	0.0462172180414
73	0.0455241199169
74	0.0444723980294
75	0.0430959363778
76	0.0430985432532
77	0.0421658054822
78	0.0419064060681
79	0.0417327516609
80	0.0405718783538
81	0.0393698662519
82	0.0386305111978
83	0.0384151140849
84	0.038072058724
85	0.0382919659217
86	0.0368867951135
87	0.0371544634302
88	0.0358728282154
89	0.0361451995042
90	0.0347708836198
91	0.0356727391481
92	0.0339087547941
93	0.0342683274713
94	0.0337687159578
95	0.0341970080303
96	0.0324352901015
97	0.0330871780299
98	0.0317999544657
99	0.0308614590516
100	0.0305001495613
101	0.0325620151642
102	0.0300922058523
103	0.0300507216404
104	0.0291617723803
105	0.0293619669974
106	0.0283460350086
107	0.0283775422722
108	0.0276850557162
109	0.0276841848261
110	0.0278891896208
111	0.0285870679137
112	0.0275104234202
113	0.0272996340775
114	0.0267283705374
115	0.0263025117003
116	0.0260265978674
117	0.0257518738508
118	0.026584405452
119	0.0251715094265
120	0.0252211967276
121	0.0252790856693
122	0.0246106599354
123	0.0250869182249
124	0.0245347254806
125	0.0243276295563
126	0.0236439450334
127	0.0224857295139
128	0.0232133420391
129	0.0237007327378
130	0.022815377555
131	0.0233357205159
132	0.022778807001
133	0.0231391561942
134	0.0217957449042
135	0.0219012430559
136	0.0213710504274
137	0.0216707305776
138	0.0214868216879
139	0.0213347271913
140	0.0214333650139
141	0.0208452039709
142	0.021452712309
143	0.021284117053
144	0.0199859972215
145	0.0199237521738
146	0.0199780936042
147	0.0199565970235
148	0.0195450666878
149	0.0197801490625
